id,fold,sample,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,low_education_ind,clm,numclaims,claimcst0,expected_loss
1,2,1|bld,5.800000000000001,0.362190934,suv,2,f,b,1,hybrid,161,73.0,black,m,0,weekday,12pm - 6pm,6,646.516468959908,0.0,1,1,2023.198184,5585.9989692618865
31,1,1|bld,6.75,0.425290028,suv,3,m,c,1,hybrid,152,93.0,green,s,1,weekday,12pm - 6pm,12,640.2044695128186,0.0,1,1,2314.691121,5442.617904504453
32,4,2|val,6.130000000000001,0.8968974,coupe,3,m,c,4,petrol,213,93.0,yellow,s,1,weekend,6am - 12pm,12,644.3898819356817,1.0,1,1,4281.441775,4773.613765632502
33,4,2|val,6.42,0.974123917,suv,3,f,e,2,petrol,184,95.0,white,s,1,weekday,12pm - 6pm,12,660.989617351408,1.0,1,1,4618.196649,4740.871842283285
34,1,1|bld,6.300000000000001,0.827622104,suv,3,m,b,2,dissel,184,57.0,blue,s,1,weekday,6am - 12pm,12,663.0891266521792,0.0,1,1,4341.766331,5246.073431359198
35,4,2|val,6.17,0.824126615,sedan,2,m,a,5,petrol,101,117.0,white,m,1,weekend,6am - 12pm,12,642.7069666184917,0.0,1,1,4160.193278,5048.002579069722
36,1,1|bld,3.4400000000000004,0.853350702,stnwg,3,m,f,4,petrol,189,81.0,white,s,1,weekend,12pm - 6pm,12,675.1706931719897,0.0,1,1,4152.930829,4866.616760573076
37,3,1|bld,5.800000000000001,0.440128088,suv,2,m,a,3,petrol,157,96.0,blue,s,1,weekend,6am - 12pm,12,645.3205856815472,0.0,1,1,2356.159931,5353.3505250862345
38,1,1|bld,5.800000000000001,0.4226038405,sedan,2,m,a,3,hybrid,78,106.0,gray,s,1,weekend,6am - 12pm,6,641.567341745452,1.0,1,1,2124.873061,5028.0495759006235
39,4,2|val,6.8100000000000005,0.954126519,coupe,4,m,b,3,dissel,221,81.0,blue,s,1,weekday,6am - 12pm,12,641.3475598517056,1.0,1,1,5642.523295,5913.810362292215
40,1,1|bld,5.45,0.744047385,stnwg,3,f,f,5,dissel,110,64.0,black,s,1,weekday,12pm - 6pm,12,649.9460986271515,0.0,1,1,4049.930534,5443.108349880163
41,2,1|bld,5.220000000000001,0.941399859,sedan,3,m,b,3,petrol,93,60.0,black,s,0,weekday,12pm - 6pm,12,648.9662040869492,1.0,1,1,4687.000918,4978.756766522949
42,4,2|val,7.0600000000000005,0.99933142633,suv,4,f,c,4,electric,195,82.0,white,s,0,weekday,12pm - 6pm,12,642.1361581771598,1.0,1,1,4995.089948,4998.43176787129
43,4,2|val,5.43,0.412244478,suv,2,m,b,1,petrol,134,65.0,white,m,1,weekday,6am - 12pm,12,655.7944107386145,0.0,1,1,2290.813354,5556.92914339049
44,4,2|val,6.19,0.490076315,suv,2,m,c,6,petrol,190,91.0,gray,s,1,weekend,6am - 12pm,12,645.7242393255254,0.0,1,1,2426.47643,4951.221586784907
45,2,1|bld,6.800000000000001,0.560896563,sedan,3,m,c,6,petrol,142,104.0,brown,s,0,weekday,12pm - 6pm,12,663.9836594260213,0.0,1,1,3388.415392,6041.069986018081
46,3,1|bld,5.45,0.81243191,stnwg,4,m,c,3,petrol,123,68.0,silver,m,1,weekday,6pm - 12am,12,634.5211988695647,0.0,1,1,4745.091294,5840.601822249941
47,4,2|val,4.17,0.84440063,stnwg,1,f,b,3,petrol,121,109.0,gray,s,0,weekday,6pm - 12am,12,642.6232528983084,1.0,1,1,4348.798457,5150.160128374135
48,3,1|bld,6.0,0.477759658,sedan,3,m,a,3,electric,103,102.0,gray,s,0,weekday,6am - 12pm,12,637.9799097678451,0.0,1,1,2352.980935,4925.030599800036
49,3,1|bld,5.24,0.599815433,suv,2,f,a,5,petrol,199,73.0,white,m,0,weekend,12pm - 6pm,12,651.4585326544482,0.0,1,1,4011.46246,6687.828020590461
50,4,2|val,5.890000000000001,0.4488747195,sedan,2,f,a,6,hybrid,97,83.0,gray,m,0,weekday,6am - 12pm,6,687.2486648134924,1.0,1,1,2336.390302,5204.994178782215
51,2,1|bld,5.67,0.750463546,panvn,3,f,d,3,petrol,103,86.0,gray,s,1,weekday,6am - 12pm,12,655.8344987674237,0.0,1,1,3700.462949,4930.902998185072
52,2,1|bld,4.18,0.3789185905,stnwg,2,m,e,5,dissel,103,84.0,silver,m,1,weekday,6am - 12pm,6,656.0763593755547,0.0,1,1,2036.50924,5374.529756676059
53,1,1|bld,3.41,0.724639633,stnwg,2,m,c,4,petrol,100,63.0,black,s,1,weekday,6am - 12pm,12,644.4570276996458,0.0,1,1,4457.394339,6151.1876193501
54,1,1|bld,2.6500000000000004,0.38016847,stnwg,1,f,a,3,petrol,166,65.0,white,s,1,weekend,12pm - 6pm,12,648.6307406000991,0.0,1,1,2106.198866,5540.172403040158
55,1,1|bld,5.23,0.460876093,suv,2,f,c,5,dissel,117,117.0,white,m,1,weekday,12pm - 6pm,12,679.8490736727233,0.0,1,1,2385.032897,5174.998081317271
56,4,2|val,5.48,0.4695758485,stnwg,2,f,a,3,petrol,175,128.0,green,s,1,weekday,12pm - 6pm,6,648.3853961063268,1.0,1,1,2399.810713,5110.592294441651
57,3,1|bld,7.15,0.348603647,suv,4,f,c,4,petrol,186,90.0,silver,s,0,weekday,12pm - 6pm,12,644.4689251698194,0.0,1,1,2005.513276,5752.989945053558
58,3,1|bld,5.96,0.936386813,sedan,2,m,c,4,petrol,158,90.0,blue,m,1,weekend,6am - 12pm,12,649.9417425996974,1.0,1,1,4207.836192,4493.694415151914
59,3,1|bld,4.2,0.750107762,stnwg,2,f,e,4,petrol,208,55.0,gray,s,1,weekday,6am - 12pm,12,655.570099670897,0.0,1,1,4072.128346,5428.724447728086
60,4,2|val,3.770000000000001,0.870954829,stnwg,1,m,d,5,dissel,158,91.0,green,s,0,weekday,6pm - 12am,12,643.2018938783685,0.0,1,1,4644.29298,5332.4154426383
61,1,1|bld,5.28,0.893713917,stnwg,3,f,b,6,dissel,185,91.0,white,s,0,weekday,12pm - 6pm,12,637.4308575627293,1.0,1,1,4221.620338000001,4723.681994536962
62,4,2|val,5.94,0.791600956,sedan,1,m,e,1,dissel,149,70.0,red,s,1,weekend,6pm - 12am,12,644.9476099074108,0.0,1,1,4212.990159,5322.113530898768
63,1,1|bld,6.67,0.51822077,sedan,3,m,b,4,petrol,84,95.0,red,s,0,weekday,12pm - 6pm,12,687.2486648134924,0.0,1,1,2352.430962,4539.437819136427
64,3,1|bld,6.2700000000000005,0.996817594,sedan,2,f,c,1,petrol,125,108.0,brown,s,1,weekday,6pm - 12am,12,677.3266022360101,1.0,1,1,5160.663255,5177.139013258628
65,3,1|bld,4.57,0.454612806,stnwg,3,f,a,3,dissel,187,83.0,black,s,1,weekday,12pm - 6pm,6,641.7582232810753,1.0,1,1,2410.835189,5303.051645667896
66,2,1|bld,4.540000000000001,0.446281838,stnwg,1,f,c,6,petrol,203,82.0,black,m,0,weekend,6pm - 12am,12,646.5941126085249,0.0,1,1,2101.467572,4708.835074753815
67,2,1|bld,5.48,0.70061626,suv,2,m,a,1,petrol,201,67.0,brown,m,1,weekday,12pm - 6pm,12,654.2106268905214,0.0,1,1,3897.96578,5563.624486819646
68,1,1|bld,4.99,0.99933142633,stnwg,3,f,f,2,dissel,197,74.0,black,s,1,weekday,12pm - 6pm,12,641.4460137880324,1.0,1,1,4553.339494,4556.385773558563
69,2,1|bld,7.07,0.331072656,coupe,4,m,a,2,petrol,190,117.0,gray,s,0,weekday,6am - 12pm,12,644.3913861800547,0.0,1,1,2335.106509,7053.154244789095
70,1,1|bld,6.41,0.623901449,suv,4,f,d,3,petrol,127,91.0,gray,m,1,weekday,6am - 12pm,12,648.1602348654342,0.0,1,1,3158.583372,5062.631890120839
71,3,1|bld,5.53,0.70825693,panvn,2,f,a,1,petrol,81,79.0,blue,m,1,weekday,12am - 6 am,12,641.61841201001,0.0,1,1,3365.838798,4752.285018940796
72,3,1|bld,5.300000000000001,0.925909004,hdtop,3,f,d,5,dissel,207,55.0,green,s,0,weekday,6am - 12pm,12,635.8224363493529,1.0,1,1,5514.191151,5955.435282709487
73,2,1|bld,5.17,0.82659665,ute,3,f,e,1,petrol,272,108.0,white,s,1,weekday,12pm - 6pm,12,645.9621852230766,0.0,1,1,4449.887887,5383.384855237436
74,3,1|bld,6.07,0.971434451,suv,3,f,b,4,petrol,108,87.0,gray,s,0,weekday,6am - 12pm,12,640.0305906744588,1.0,1,1,5222.946032999999,5376.529551349007
75,3,1|bld,5.75,0.988558037,suv,2,m,a,5,petrol,114,98.0,white,s,1,weekday,12pm - 6pm,12,642.6840961992519,1.0,1,1,6239.430845000001,6311.6484935319995
76,2,1|bld,4.300000000000001,0.813633002,stnwg,3,f,e,2,petrol,187,82.0,brown,s,0,weekday,12pm - 6pm,12,633.9840188883015,0.0,1,1,3920.114736,4818.038017587689
77,1,1|bld,5.96,0.49840957,sedan,2,m,c,3,petrol,90,79.0,silver,m,1,weekday,6am - 12pm,6,658.1588038693627,1.0,1,1,2327.8939,4670.644466156618
78,2,1|bld,5.74,0.463941673,sedan,2,m,b,5,hybrid,98,98.0,black,m,1,weekday,12pm - 6pm,6,637.6159191392436,1.0,1,1,2312.026136,4983.441390487033
79,4,2|val,4.93,0.434314842,stnwg,3,m,d,3,petrol,149,65.0,white,s,0,weekday,12pm - 6pm,12,649.4845363640991,0.0,1,1,2132.634117,4910.3413256137355
80,3,1|bld,5.99,0.412356052,sedan,1,m,c,4,petrol,101,85.0,gray,s,1,weekday,12pm - 6pm,12,655.8377523279191,0.0,1,1,2291.742481,5557.678782413021
81,4,2|val,5.91,0.757545271,hdtop,3,m,f,2,dissel,285,121.0,gray,s,1,weekday,6am - 12pm,12,656.078746955815,0.0,1,1,4249.450463,5609.500350243755
82,4,2|val,6.82,0.679682225,stnwg,4,m,b,2,dissel,135,69.0,silver,m,1,weekday,6am - 12pm,12,641.8017434411331,0.0,1,1,4490.994465,6607.491412623009
83,2,1|bld,5.8100000000000005,0.748807572,suv,2,f,c,4,dissel,194,105.0,white,s,1,weekday,12pm - 6pm,12,652.2564969012557,0.0,1,1,3799.691525,5074.32305318622
84,3,1|bld,2.24,0.499667647,stnwg,1,m,c,5,petrol,154,56.0,gray,m,1,weekday,12pm - 6pm,6,664.9088950784688,1.0,1,1,3661.298003,7327.466617025136
85,4,2|val,6.19,0.653021553,ute,4,m,c,3,petrol,171,84.0,silver,m,0,weekday,6am - 12pm,12,651.1533239522983,0.0,1,1,3740.619228,5728.171161909568
86,1,1|bld,3.58,0.739282913,stnwg,3,m,c,3,petrol,148,61.0,black,m,1,weekend,6am - 12pm,12,645.2565066404167,0.0,1,1,4010.761057,5425.204595524041
87,4,2|val,5.87,0.3939294565,sedan,2,f,b,4,dissel,86,80.0,red,s,1,weekday,6am - 12pm,6,641.5083094069685,0.0,1,1,2381.605304,6045.765973329796
88,1,1|bld,1.91,0.837515274,stnwg,1,f,d,3,petrol,129,87.0,white,s,1,weekday,12pm - 6pm,12,659.5436034828788,0.0,1,1,4215.7824900000005,5033.678335041326
89,2,1|bld,7.03,0.728945507,stnwg,4,f,c,4,petrol,184,82.0,brown,s,1,weekday,6am - 12pm,12,648.3318105926559,0.0,1,1,4471.150082,6133.723356634942
90,3,1|bld,6.550000000000001,0.626963737,sedan,3,f,a,6,petrol,85,55.0,brown,s,1,weekday,6am - 12pm,12,643.7986871834022,0.0,1,1,3275.660581,5224.641215573207
91,1,1|bld,5.92,0.854374579,stnwg,2,m,d,3,electric,158,116.0,blue,m,1,weekday,6am - 12pm,12,646.5154667595715,0.0,1,1,3545.732343,4150.091107755208
92,3,1|bld,6.16,0.999324532,sedan,2,m,c,4,electric,131,94.0,black,m,1,weekday,6am - 12pm,12,655.7801055729391,1.0,1,1,4141.134198,4143.933292333105
93,2,1|bld,6.5600000000000005,0.435071128,hdtop,4,m,b,4,petrol,290,69.0,white,m,1,weekday,6am - 12pm,6,652.7585755028931,1.0,1,1,2349.498773,5400.263593221014
94,4,2|val,5.220000000000001,0.43468042,suv,1,m,c,1,petrol,168,84.0,white,m,1,weekday,6pm - 12am,12,649.467824921495,0.0,1,1,2054.327712,4726.064523449204
95,4,2|val,4.2700000000000005,0.621717551,stnwg,3,f,b,4,dissel,107,66.0,gray,m,1,weekday,6am - 12pm,12,680.1775473436094,0.0,1,1,3699.116912,5949.835107678985
96,1,1|bld,6.8100000000000005,0.963485853,ute,4,f,e,4,electric,194,97.0,white,s,1,weekday,6am - 12pm,12,641.6330227698618,1.0,1,1,4471.813291,4641.285886114615
97,3,1|bld,6.0600000000000005,0.947418453,sedan,2,m,c,2,petrol,86,70.0,black,s,1,weekday,12pm - 6pm,12,647.9704275831083,1.0,1,1,4169.013887,4400.393378236216
98,4,2|val,5.28,0.398173516,mibus,3,f,b,3,dissel,189,102.0,black,m,0,weekday,12am - 6 am,12,642.0424538862802,0.0,1,1,2063.453663,5182.297616700353
99,1,1|bld,6.550000000000001,0.471088525,sedan,3,f,c,4,hybrid,128,90.0,gray,m,1,weekday,6am - 12pm,6,652.5185508817328,1.0,1,1,2024.805671,4298.142628288389
100,4,2|val,5.65,0.447723205,sedan,2,f,a,3,petrol,151,96.0,gray,m,1,weekend,12am - 6 am,12,671.7236369773151,0.0,1,1,2356.19348,5262.611930065139
101,2,1|bld,5.9,0.99933142633,sedan,1,m,d,3,petrol,116,127.0,black,s,1,weekday,6am - 12pm,12,645.2075339954285,1.0,1,1,3723.596149,3726.0873128695052
102,1,1|bld,3.85,0.833765654,stnwg,2,f,c,4,dissel,107,81.0,white,m,0,weekday,12pm - 6pm,12,643.8369679261295,0.0,1,1,3756.871601,4505.908324451081
103,3,1|bld,6.28,0.9884443,suv,3,f,c,3,dissel,188,81.0,gray,m,1,weekday,12pm - 6pm,12,678.1217489316774,1.0,1,1,4590.552953,4644.220167995303
104,1,1|bld,4.67,0.804171588,truck,3,m,a,1,dissel,268,105.0,white,s,0,weekday,12pm - 6pm,12,645.5802303829101,0.0,1,1,4448.205484,5531.413382886141
105,1,1|bld,3.89,0.730352705,stnwg,2,m,a,2,petrol,153,118.0,blue,m,1,weekday,6pm - 12am,12,642.4939938393511,0.0,1,1,4058.357704,5556.709349080866
106,1,1|bld,3.86,0.580942879,stnwg,2,m,b,2,petrol,154,62.0,gray,s,1,weekday,6pm - 12am,12,654.4515121774687,0.0,1,1,2804.0334780000003,4826.693947650575
107,1,1|bld,5.17,0.608077054,suv,2,f,a,5,petrol,204,64.0,gray,m,1,weekday,12pm - 6pm,12,640.2961462819086,0.0,1,1,3746.272853,6160.852195221956
108,4,2|val,5.73,0.3679682265,suv,2,m,a,5,electric,162,58.0,white,s,1,weekday,12pm - 6pm,6,644.9901591246556,0.0,1,1,2076.095357,5642.050610584444
109,2,1|bld,7.13,0.4996649145,suv,4,m,b,5,petrol,189,75.0,gray,s,1,weekday,6am - 12pm,6,647.8309837054312,1.0,1,1,3046.298498,6096.682816019495
110,3,1|bld,4.62,0.42779018,sedan,1,f,c,4,petrol,143,126.0,black,m,1,weekday,12pm - 6pm,6,667.1184860039128,0.0,1,1,2283.885062,5338.797309466056
111,1,1|bld,6.04,0.323186067,suv,3,f,a,5,petrol,162,70.0,gray,m,1,weekday,6am - 12pm,12,642.0826064100407,0.0,1,1,2000.707403,6190.574431539463
112,4,2|val,5.9,0.839646477,suv,1,m,a,4,petrol,118,66.0,white,m,1,weekday,6am - 12pm,12,646.2136435922221,0.0,1,1,4150.869662,4943.592066069015
113,4,2|val,4.7,0.388952848,hdtop,3,m,f,2,petrol,228,89.0,gray,s,1,weekend,12pm - 6pm,12,647.4003784853335,0.0,1,1,2309.679421,5938.199020463271
114,4,2|val,6.74,0.4795398575,sedan,3,m,b,3,petrol,90,103.0,red,s,0,weekday,6am - 12pm,6,656.004473869118,1.0,1,1,2082.9989100000003,4343.745107777616
115,3,1|bld,4.970000000000001,0.696202835,suv,1,m,b,3,dissel,103,55.0,brown,s,0,weekday,12pm - 6pm,12,642.0575405982682,0.0,1,1,4012.718916,5763.721022480467
116,4,2|val,6.140000000000001,0.861118688,sedan,1,m,a,1,petrol,113,133.01000000000022,white,s,0,weekend,6am - 12pm,12,662.2788689954926,1.0,1,1,3484.665127,4046.672282880476
117,1,1|bld,7.04,0.894282389,stnwg,4,f,a,2,dissel,167,69.0,gray,s,0,weekday,6am - 12pm,12,641.3352020564716,0.0,1,1,4055.37489,4534.781115990421
118,4,2|val,6.23,0.4996667275,sedan,2,f,a,4,petrol,152,96.0,brown,m,0,weekday,12pm - 6pm,6,642.7625618061352,1.0,1,1,2941.359361,5886.642434081224
119,4,2|val,3.91,0.9082297,mcara,3,m,d,5,dissel,119,96.0,silver,s,0,weekend,6pm - 12am,12,654.7470299022516,1.0,1,1,3695.709015,4069.1347299036793
120,3,1|bld,6.180000000000001,0.914425752,sedan,1,m,d,5,electric,106,89.0,yellow,m,0,weekday,12pm - 6pm,12,654.7341784166997,1.0,1,1,3933.922603,4302.068915268257
121,1,1|bld,4.720000000000001,0.577404607,stnwg,1,m,a,5,petrol,181,78.0,white,m,1,weekday,12pm - 6pm,12,642.3806898190975,0.0,1,1,3587.022026,6212.319719160121
122,1,1|bld,5.65,0.677832675,suv,3,m,e,5,petrol,137,117.0,red,m,1,weekday,12pm - 6pm,12,645.9771560551544,0.0,1,1,4511.593624,6655.9105077075255
123,4,2|val,4.53,0.742708944,suv,1,f,d,6,electric,112,73.0,white,s,1,weekend,6am - 12pm,12,648.9274835484748,0.0,1,1,4483.611529,6036.835243766769
124,3,1|bld,5.86,0.84194123,sedan,2,f,b,4,electric,152,97.0,white,m,0,weekday,6am - 12pm,12,648.2312821822691,0.0,1,1,4598.242715,5461.477061765939
125,1,1|bld,5.48,0.813834639,stnwg,4,f,e,3,dissel,140,84.0,white,m,0,weekend,12pm - 6pm,12,644.0604485483341,0.0,1,1,5141.480646,6317.598686039708
126,3,1|bld,4.62,0.817850237,stnwg,3,m,d,4,petrol,163,67.0,silver,s,1,weekend,12pm - 6pm,12,641.5534563633078,0.0,1,1,4987.977234,6098.888290717705
127,3,1|bld,6.03,0.909898201,ute,4,m,e,2,petrol,273,75.0,white,s,1,weekend,6am - 12pm,12,634.0624816230198,1.0,1,1,4389.858341,4824.5598641424285
128,2,1|bld,5.880000000000001,0.480309806,suv,2,m,d,6,petrol,178,75.0,white,m,1,weekday,6pm - 12am,12,659.4594989694298,0.0,1,1,2095.63585,4363.091954029354
129,1,1|bld,4.73,0.899642605,stnwg,2,f,c,2,petrol,180,69.0,brown,s,1,weekday,12am - 6 am,12,642.4492014585463,1.0,1,1,5608.079821,6233.675228175749
130,2,1|bld,6.470000000000001,0.51944703,suv,3,m,c,1,petrol,140,70.0,black,m,1,weekday,6am - 12pm,12,663.0718663971372,0.0,1,1,3147.7640100000003,6059.836380236884
131,2,1|bld,6.01,0.396427029,sedan,3,m,b,4,petrol,74,84.0,black,s,1,weekday,6pm - 12am,12,638.227835006228,0.0,1,1,2070.056121,5221.783505079822
132,4,2|val,4.37,0.894520269,stnwg,3,f,b,6,petrol,110,93.0,gray,s,0,weekday,12pm - 6pm,12,640.0704003158958,1.0,1,1,4879.889479,5455.314595001089
133,1,1|bld,6.29,0.827199265,ute,4,f,b,5,electric,201,80.0,black,m,1,weekday,6am - 12pm,12,648.1719310860617,0.0,1,1,5021.360648,6070.315654838016
134,3,1|bld,6.19,0.989254585,sedan,2,m,a,5,petrol,71,76.0,black,m,0,weekday,12pm - 6pm,12,640.8729211430563,1.0,1,1,4175.411025,4220.764895418706
135,4,2|val,6.19,0.99933142633,sedan,2,m,a,4,petrol,146,56.0,green,s,1,weekday,12pm - 6pm,12,643.1128309580679,1.0,1,1,4382.350944,4385.282828634728
136,1,1|bld,6.07,0.518753566,suv,3,m,c,2,petrol,109,69.0,black,s,0,weekday,12pm - 6pm,12,655.526122014422,0.0,1,1,2448.088107,4719.173548775181
137,4,2|val,6.46,0.999329178,truck,4,m,e,4,dissel,310,55.0,blue,m,0,weekend,12pm - 6pm,12,647.4720514511951,1.0,1,1,4259.241164,4262.100274630428
138,3,1|bld,6.1000000000000005,0.581357841,sedan,2,m,c,3,dissel,119,85.0,gray,s,1,weekday,12pm - 6pm,12,663.2956653434067,0.0,1,1,2412.641251,4150.01068335122
139,3,1|bld,5.74,0.4106813095,suv,2,f,a,3,petrol,166,67.0,black,s,1,weekday,6am - 12pm,6,657.6863906159044,0.0,1,1,2062.424942,5021.959593220788
140,3,1|bld,5.890000000000001,0.503919981,stnwg,3,m,c,3,petrol,148,80.0,white,s,1,weekday,12pm - 6pm,12,668.2664797052969,0.0,1,1,2138.279384,4243.291523699275
141,4,2|val,6.2700000000000005,0.730887418,hdtop,4,f,d,2,petrol,258,93.0,gray,s,1,weekday,6am - 12pm,12,667.2513287165933,0.0,1,1,4058.399107,5552.700740293767
142,3,1|bld,5.540000000000001,0.963857483,sedan,2,m,a,3,petrol,84,82.0,black,s,1,weekday,12pm - 6pm,12,641.3701469035141,1.0,1,1,5979.375414,6203.588724952609
143,2,1|bld,5.65,0.654949871,suv,1,m,a,3,dissel,125,125.0,black,m,1,weekday,12pm - 6pm,12,643.0027350008652,0.0,1,1,2428.021985,3707.187515424367
144,2,1|bld,5.57,0.3218872625,sedan,1,m,e,3,petrol,154,86.0,black,m,0,weekday,6pm - 12am,6,643.9437454054415,0.0,1,1,2131.368269,6621.474402082003
145,2,1|bld,5.82,0.497783682,sedan,1,m,b,4,hybrid,138,103.0,white,s,1,weekday,12pm - 6pm,12,652.7436410206691,0.0,1,1,2970.493749,5967.438982863243
146,4,2|val,6.61,0.3809559385,suv,4,m,c,5,petrol,175,78.0,black,s,0,weekday,6pm - 12am,6,648.9457359380418,0.0,1,1,2311.206753,6066.861070863711
